,BC cells,Mix BC cells TAMs,DCs,T cells,TAMs,NK cells,Blood ECs,CAFs,Plasma cells,Mural cells,Mast cells,Myoepithelial cells
ISG15,0.106696369905891,0.639647328421592,0.273897421435862,0.402581716510925,0.478416392518534,0.509622338921143,0.440909030662153,0.0650202562762416,0.137728863914987,0.673047991757745,0.0860163943232248,0.016633129872699
TNFRSF18,0.0121167339049352,0.022466039426211,0.024006819074793,0.32536033007459,0.0187355218140132,1.13796666002946,0.0388206857956308,0.0208400099403377,0.0419825748709679,0.0108214717351223,0.0234337625589341,0.00518734349886663
TNFRSF4,0.00329770038912499,0.0332912854581676,0.0250010108344971,0.328051239798191,0.0202876763042153,0.0833355529407459,0.160868510741862,0.0118187398251953,0.00861919286919941,0,0.038588040434839,0
MXRA8,0.078848053330636,0.00438209363092695,0.00125399653115964,0.00197159621940327,0.0019449355264588,0,0.034210934977754,0.215537315875761,0,0.495129559909252,0.0340594605453397,0.0676510997064233
VWA1,0.0512193905770213,0.0394817074651636,0.0209480414822171,0.00185301669461417,0.0170862283624314,0.000860773924128825,0.945213568972123,0.00774633094198096,0.00194417983007813,0.074490470789272,0,0.063314370172747
TNFRSF14,0.0499485087567496,0.257603776862022,0.271686514834354,0.195792687067236,0.44736662292433,0.129084000566802,0.187213382063901,0.191931398833093,0.086171433442754,0.107590766915362,0.303938871873027,0.0954371752504235
RPL22,1.02737404536361,2.12260812998643,2.07270397777882,0.956719752774075,1.61173468140555,1.45449225298077,1.61908807141061,0.202389487815048,0.45755789798616,1.47738286408676,0.166457905838239,0.17321259695281
TNFRSF9,0.00763980620407811,0.111078421982191,0.19229629369063,0.216384381256961,0.0723203540371653,0.0661925007889292,0,0.0198135205259253,0.0208430242446372,0.0292518228091764,0.43335403039575,0.00474894581506154
ENO1,0.784568066333437,2.14013686352703,1.51701124858995,0.580752628404235,1.61020673701559,1.01000704171152,0.807934995431126,0.19708602187813,0.26979704320599,0.887676006895759,0.0572547124579552,0.405258527631384
MTOR,0.40262565133815,0.255438779093321,0.191417082412358,0.189721335492955,0.192199847501285,0.184012256865157,0.429688494431915,0.302937160951338,0.292375437704593,0.172557505628345,0.152254889649884,0.218962961507592
